以为;yǐwéi;Liên từ;Cho rằng (nhận định chủ quan, thường sẽ không đúng);别人准以为我缺少家教呢。;Biérén zhǔn yǐwéi wǒ quēshǎo jiājiào ne.;Mọi người phải nghĩ rằng tôi thiếu gia sư.
一般;yībān;Liên từ;"Thông
thường";"水珠在海面上如同可爱的小精
灵一般，上下飞跃。";kě’ài de xiǎo jīnglíng yībān, shàngxià;"N hững giọt nước chồm lên nhảy xuống như một chú
yêu tinh dễ thương trên biển."
一边;yībiān;Liên từ;Một bên;"爷爷一边看着的考卷，一边表
扬我。";"Yéyé yībiān kànzhe wǒ de kǎojuàn,
yībiān biǎoyáng wǒ.";Ông nội khen tôi khi nhìn vào tờ giấy thi.
一直;yīzhí;Liên từ;Vẫn luôn;他多年来一直欺骗税收员。;"Tā duōnián lái yīzhí qīpiàn shuìshōu
yuán.                                          ,";"Anh ta đã lừa dối những người thu thuế trong nhiều
năm."
音乐;yīnyuè;Danh từ;Âm nhạc;"音乐就是我的生命，感谢你们
承认我的生命。";gǎnxiè nǐmen chéngrèn wǒ de;"Âm nhạc là cuộc sống của tôi, cảm ơn bạn đã công
nhận cuộc sống của tôi."
银行;"yínhán
g";Danh từ;"N gân
hàng";我的银行存款余额不多了。;"Wǒ de yínháng cúnkuǎn yú’é bù
duōle.";Số dư ngân hàng của tôi sắp hết.
应该;yīnggāi;Động từ;N ên;他应该仔细考虑一段时间。;Tā yīnggāi zǐxì kǎolǜ yīduàn shíjiān.;Anh ấy nên suy nghĩ kỹ một lúc.
影响;yǐngxiǎ ng;Động từ;Ảnh hưởng;"随着这些的发生，应该看到这些事件对价格的影响正在逆转
。";"Suízhe zhèxiē de fǎ shēng, yīnggāi
kàn dào zhèxiē shìjiàn duì jiàgé de yǐngxiǎng zhèngzài nìzhuǎn.";"Khi những điều này xảy ra, chúng ta sẽ thấy rằng tác động của những sự kiện này lên giá đang đảo
ngược."
用;yòng;Động từ;Dùng;1970年英国已改用公制货币。;"1970 N ián yīngguó yǐ gǎi yòng
gōngzhì huòbì.";N ăm 1970, Anh đã chuyển sang tiền tệ hệ mét.
游戏;yóuxì;Danh từ;Trò chơi;这个游戏的难点就在这里。;Zhège yóuxì de nándiǎn jiù zài zhèlǐ.;Khó khăn của trò chơi này là ở đây.
又;yòu;Phó từ;"Lại (lặp lại nhiều hơn 2 lần
trở lên)";孩子们又活泼又漂亮，就像春天里的花蕾。;Háizimen yòu huópō yòu piàoliang, jiù xiàng chūntiān lǐ de huālěi.;Các em sinh động, xinh tươi như nụ hoa mùa xuân.
有名;yǒumí ng;Danh từ;"Có tiếng,
nổi tiếng";1492年是历史上有名的一年。;1492 N ián shì lìshǐ shàng yǒumíng de yī nián.;N ăm 1492 là một năm nổi tiếng trong lịch sử.
;;;"Có danh,
nổi danh";;;
遇到;yù dào;Động từ;Gặp gỡ, gặp được;但愿我再也别遇到这类事。;Dàn yuàn wǒ zài yě bié yù dào zhè lèi shì.;Tôi hy vọng mình sẽ không bao giờ gặp phải chuyện như thế này nữa.
月亮;"yuèliàn
g";Danh từ;Mặt trăng;"凝望夜空，是否只见月亮和她
的眼泪呢？";"N íngwàng yèkōng, shìfǒu zhǐ jiàn
yuèliàng hé tā de yǎnlèi ne?";"N hìn chằm chằm bầu trời đêm, bạn chỉ nhìn thấy
trăng và nước mắt của cô ấy?"
云;yún;Danh từ;Mây;雨和雪通常都是来自雨云。;"Yǔ hé xuě tōngcháng dōu shì láizì yǔ
yún.";Mưa và tuyết thường đến từ những đám mây mưa.
站;Zhàn;Danh từ;"Trạm,
bến";我站在有风吹日晒的地方。;"Wǒ zhàn zài yǒu fēng chuī rì shài
dìdìfāng.";Tôi đang đứng ở nơi có gió và nắng.
长;zhǎng;Tính từ;Dài;目录是一篇长文档的地图。;;Thư mục là một bản đồ của các tài liệu dài.
着急;zhāojí;Động từ;"Gấp gáp,
sốt ruột";"看着弟弟着急的样子，他忽然
笑了起来。";"Kànzhe dì dì zhāojí de yàngzi, tā
hūrán xiàole qǐlái.";Thấy em trai vội vàng, anh chợt bật cười.
照顾;zhàogù;Động từ;"Chăm
sóc";今晚请你照顾我的孩子们。;"Jīn wǎn qǐng nǐ zhàogù wǒ de
háizimen.";Hãy chăm sóc các con của tôi đêm nay.
照片;;Danh từ;Ảnh;这几张照片具有独到之处。;;N hững bức ảnh này là duy nhất.
照相机;zhàoxi àngjī;Danh từ;Máy ảnh;古有西门庆，今有陈冠希；小西见小希，亮出照相机。;"Gǔ yǒu xīmén qìng, jīn yǒu
chénguānxī; xiǎoxī jiàn xiǎo xī, liàng chū zhàoxiàngjī.";"Thời xa xưa có Tây Môn Khánh và Edison Chen bây giờ; Tiểu Tây nhìn thấy Tiểu Hy và khoe máy
ảnh của anh ấy."
只;zhǐ;Lượng từ;Chỉ;那个小坏蛋还只有十九岁。;;Tên phản diện nhỏ đó mới mười chín tuổi.
中间;"Zhōngj
iān";"Phương
vị từ";Ở giữa;他在会议中间悄悄离开了。;"Tā zài huìyì zhōngjiān qiāoqiāo
líkāile.                   ,";Anh lặng lẽ bỏ đi giữa cuộc họp.
终于;"zhōngy
ú";"Từ chỉ
thời gian";"Cuối
cùng";"运动会上，我咬牙坚持，终于
跑到了终点。";jiānchí, zhōngyú pǎo dàole;"Đến đại hội thể thao, tôi nghiến răng cố chấp, cuối
cùng cũng chạy về đích."
种;zhǒng;Lượng từ;"Loại,
chủng,";甚至总统亦否认此种谣传。;"Shènzhì zǒngtǒng yì fǒurèn cǐ zhǒng
yáochuán.";"N gay cả tổng thống cũng phủ nhận những tin đồn
như vậy."
重要;"zhòngy
ào";Tính từ;"Quan
trọng";"今天的会很重要，请你务必按
时参加。";"Jīntiān de huì hěn zhòngyào, qǐng nǐ
wùbì ànshí cānjiā.";"Buổi họp hôm nay rất quan trọng, hãy nhớ đến tham
dự đúng giờ."
主要;zhǔyào;Danh từ;Chủ yếu;它的主要缺点是无吸收性。;;N hược điểm chính của nó là không thấm hút.
周末;"zhōum
ò";"Từ chỉ
thời gian";Cuối tuần;一到周末我总是手头很紧。;"Yī dào zhōumò wǒ zǒng shì shǒutóu
hěn jǐn.";Tôi luôn luôn chặt tay vào cuối tuần.
祝;zhù;Động từ;Chúc;我们要给她开生日庆祝会。;;Chúng tôi sẽ tổ chức sinh nhật cho cô ấy.
注意;zhùyì;Động từ;Chủ ý;"上课时要注意听讲不要四处张
望。";"Shàngkè shí yào zhùyì tīngjiǎng
bùyào sìchù zhāngwàng.";"Hãy cNn thận không nhìn xung quanh khi bạn ở
trong lớp."
字典;zìdiǎn;Danh từ;Tự điển;你当然可以用我的字典了。;N ǐ dāngrán kěyǐ yòng wǒ de zìdiǎnle.;Tất nhiên bạn có thể sử dụng từ điển của tôi.
自己;zìjǐ;Danh từ;Bản thân;他吃力地签上自己的名字。;Tā chīlì dì qiān shàng zìjǐ de míngzì.;Anh đấu tranh để ký tên của mình.
总是;zǒng shì;Liên từ;"Luôn
luôn, lúc nào cũng";"生活中总是有一些不开心的事
，我们要笑着面对。";"Shēnghuó zhōng zǒng shì yǒu yīxiē
bù kāixīn de shì, wǒmen yào xiàozhe miàn duì.";Trong cuộc sống luôn có những điều không vui, và chúng ta phải mỉm cười đối mặt với chúng.
最近;zuìjìn;"Phương
vị từ";Gần đây;"最困苦的时候，往往是离成功
最近的时候。";"Zuì kùnkǔ de shíhòu, wǎngwǎng shì
lí chénggōng zuìjìn de shíhòu.";"Khoảng thời gian khó khăn nhất thường là lúc gần
thành công nhất."
作业;zuòyè;Danh từ;"Bài tập
về nhà";交作业前一定要仔细检查。;"Jiāo zuòyè qián yīdìng yào zǐxì
jiǎnchá.";N hớ kiểm tra kỹ trước khi giao bài.
作用;;Động từ;Tác dụng;环化作用本身是慢的一步。;;Bản thân chu trình là một bước chậm.
